Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805",-92.273515,-87.511011,180.000000,bottom
"C2","0.1u","C_0805",-114.895409,-73.223499,0.000000,bottom
"C3","0.1u","C_0805",-114.895409,-88.106324,0.000000,bottom
"C4","4.7u","C_0805",-65.484430,-26.193772,180.000000,bottom
"C5","1u","C_0805",-118.467287,-89.892263,0.000000,bottom
"C6","0.1u","C_0805",-185.737656,-76.200064,-90.000000,bottom
"C7","0.1u","C_0805",-279.797110,-76.200064,-90.000000,bottom
"C8","0.1u","C_0805",-292.893996,-20.835955,0.000000,bottom
"C9","0.1u","C_0805",-205.978298,-19.050016,-90.000000,bottom
"C10","0.1u","C_0805",-110.728218,-19.050016,-90.000000,bottom
"C11","0.1u","C_0805",-32.742215,-15.478138,-90.000000,bottom
"C12","0.1u","C_0805",-19.050016,-76.200064,-90.000000,bottom
"C13","0.1u","C_0805",-94.059454,-73.818812,-90.000000,bottom
"C14","0.1u","C_0805",-92.273515,-89.892263,180.000000,bottom
"D1","D","D_0805",-39.885971,-11.906260,90.000000,bottom
"D2","D","D_0805",-36.314093,-11.906260,90.000000,bottom
"D3","D","D_0805",-55.364109,-11.906260,90.000000,bottom
"D4","D","D_0805",-74.414125,-11.906260,90.000000,bottom
"D5","D","D_0805",-93.464141,-11.906260,90.000000,bottom
"D6","D","D_0805",-112.514157,-11.906260,90.000000,bottom
"D7","D","D_0805",-131.564173,-11.906260,90.000000,bottom
"D8","D","D_0805",-150.614189,-11.906260,90.000000,bottom
"D9","D","D_0805",-169.664205,-11.906260,90.000000,bottom
"D10","D","D_0805",-188.714221,-11.906260,90.000000,bottom
"D11","D","D_0805",-207.764237,-11.906260,90.000000,bottom
"D12","D","D_0805",-226.814253,-11.906260,90.000000,bottom
"D13","D","D_0805",-245.864269,-11.906260,90.000000,bottom
"D14","D","D_0805",-283.964301,-11.906260,90.000000,bottom
"D15","D","D_0805",-287.000000,-11.906260,90.000000,bottom
"D16","D","D_0805",-249.436147,-11.906260,90.000000,bottom
"D17","D","D_0805",-30.360963,-30.956276,90.000000,bottom
"D18","D","D_0805",-45.839101,-30.956276,90.000000,bottom
"D19","D","D_0805",-49.410979,-30.956276,90.000000,bottom
"D20","D","D_0805",-83.939133,-30.956276,90.000000,bottom
"D21","D","D_0805",-102.989149,-30.956276,90.000000,bottom
"D22","D","D_0805",-122.039165,-30.956276,90.000000,bottom
"D23","D","D_0805",-141.089181,-30.956276,90.000000,bottom
"D24","D","D_0805",-160.139197,-30.956276,90.000000,bottom
"D25","D","D_0805",-179.189213,-30.956276,90.000000,bottom
"D26","D","D_0805",-198.239229,-30.956276,90.000000,bottom
"D27","D","D_0805",-217.289245,-30.956276,90.000000,bottom
"D28","D","D_0805",-236.339261,-30.956276,90.000000,bottom
"D29","D","D_0805",-239.911139,-30.956276,90.000000,bottom
"D30","D","D_0805",-279.201797,-30.956276,90.000000,bottom
"D31","D","D_0805",-287.536179,-30.956276,90.000000,bottom
"D33","D","D_0805",-24.407833,-50.006292,90.000000,bottom
"D34","D","D_0805",-50.601605,-50.006292,90.000000,bottom
"D35","D","D_0805",-69.651621,-50.006292,90.000000,bottom
"D36","D","D_0805",-88.701637,-50.006292,90.000000,bottom
"D37","D","D_0805",-107.751653,-50.006292,90.000000,bottom
"D38","D","D_0805",-111.323531,-50.006292,90.000000,bottom
"D39","D","D_0805",-145.851685,-50.006292,90.000000,bottom
"D40","D","D_0805",-164.901701,-50.006292,90.000000,bottom
"D41","D","D_0805",-183.951717,-50.006292,90.000000,bottom
"D42","D","D_0805",-203.001733,-50.006292,90.000000,bottom
"D43","D","D_0805",-222.051749,-50.006292,90.000000,bottom
"D44","D","D_0805",-241.101765,-50.006292,90.000000,bottom
"D45","D","D_0805",-244.673643,-50.006292,90.000000,bottom
"D46","D","D_0805",-272.058041,-50.006292,90.000000,bottom
"D47","D","D_0805",-287.536179,-50.006292,90.000000,bottom
"D49","D","D_0805",-41.076597,-69.056308,90.000000,bottom
"D50","D","D_0805",-44.648475,-69.056308,90.000000,bottom
"D51","D","D_0805",-60.126613,-69.056308,90.000000,bottom
"D52","D","D_0805",-79.176629,-69.056308,90.000000,bottom
"D53","D","D_0805",-98.226645,-69.056308,90.000000,bottom
"D54","D","D_0805",-117.276661,-69.056308,90.000000,bottom
"D55","D","D_0805",-136.326677,-69.056308,90.000000,bottom
"D56","D","D_0805",-139.898555,-69.056308,90.000000,bottom
"D57","D","D_0805",-174.426709,-69.056308,90.000000,bottom
"D58","D","D_0805",-193.476725,-69.056308,90.000000,bottom
"D59","D","D_0805",-212.526741,-69.056308,90.000000,bottom
"D60","D","D_0805",-231.576757,-69.056308,90.000000,bottom
"D61","D","D_0805",-257.770529,-69.056308,90.000000,bottom
"D62","D","D_0805",-283.964301,-69.056308,90.000000,bottom
"D63","D","D_0805",-287.536179,-69.056308,90.000000,bottom
"D65","D","D_0805",-69.651621,-88.106324,90.000000,bottom
"D66","D","D_0805",-50.601605,-88.106324,90.000000,bottom
"D67","D","D_0805",-72.628186,-88.106324,90.000000,bottom
"D71","D","D_0805",-150.614189,-88.106324,90.000000,bottom
"D74","D","D_0805",-208.954863,-89.296950,90.000000,bottom
"D75","D","D_0805",-211.931428,-89.296950,90.000000,bottom
"D76","D","D_0805",-245.864269,-88.106324,90.000000,bottom
"D77","D","D_0805",-249.436147,-88.106324,90.000000,bottom
"D78","D","D_0805",-283.964301,-88.106324,90.000000,bottom
"D79","D","D_0805",-287.536179,-88.106324,90.000000,bottom
"F1","Polyfuse_Small","R_0805",-63.698491,-22.026581,90.000000,bottom
"G***","LOGO","logo_new",-36.314093,-38.100032,180.000000,bottom
"G***","LOGO","oshw",-50.006292,-38.100032,180.000000,bottom
"J1","HRO-TYPE-C-31-M-12","CONN_HRO-TYPE-C-31-M-12",-18.800000,1.650000,180.000000,bottom
"J2","ISP","CONN_isp_standard",-166.687640,-83.939133,180.000000,bottom
"J3","UDB","CONN_JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-47.029727,-19.645329,-90.000000,bottom
"R1","5.1k","R_0805",-16.668764,-12.501573,-90.000000,bottom
"R2","5.1k","R_0805",-21.431268,-12.501573,-90.000000,bottom
"R3","22","R_0805",-68.460995,-20.835955,-90.000000,bottom
"R4","22","R_0805",-66.079743,-20.835955,-90.000000,bottom
"R5","10k","R_0805",-96.440706,-73.818812,-90.000000,bottom
"R6","10k","R_0805",-116.086035,-75.604751,0.000000,bottom
"R7","470","R_0805",-174.426709,-75.009438,0.000000,bottom
"R8","1k","R_0805",-22.026581,-53.578170,90.000000,bottom
"RGB1","WS2812B","LED_WS2813B",-191.690786,-76.200064,-90.000000,bottom
"RGB2","WS2812B","LED_WS2813B",-285.750240,-76.200064,-90.000000,bottom
"RGB3","WS2812B","LED_WS2813B",-285.750240,-20.835955,-90.000000,bottom
"RGB4","WS2812B","LED_WS2813B",-200.025168,-19.050016,-90.000000,bottom
"RGB5","WS2812B","LED_WS2813B",-104.775088,-19.050016,-90.000000,bottom
"RGB6","WS2812B","LED_WS2813B",-26.789085,-15.478138,-90.000000,bottom
"RGB7","WS2812B","LED_WS2813B",-25.003146,-76.200064,-90.000000,bottom
